Financial_Year,Month_Num,Month,Channel,Revenue,Revenue_Source
2022-23,1,January,JustEat,1827.5,Observed
2022-23,2,February,JustEat,2129,Observed
2022-23,3,March,JustEat,1737.5,Observed
2023-24,4,April,JustEat,2140.5,Observed
2023-24,5,May,JustEat,2530.5,Observed
2023-24,6,June,JustEat,1606.5,Observed
2023-24,7,July,JustEat,1362.3,Observed
2023-24,8,August,JustEat,1597.5,Observed
2023-24,9,September,JustEat,1606.5,Observed
2023-24,10,October,JustEat,2053.5,Observed
2023-24,11,November,JustEat,1490.5,Observed
2023-24,12,December,JustEat,1538,Observed
2023-24,1,January,JustEat,1477,Observed
2023-24,2,February,JustEat,1334,Observed
2023-24,3,March,JustEat,1073.5,Observed
2024-25,4,April,JustEat,1415.5,Observed
2024-25,5,May,JustEat,1112.35,Observed
2024-25,6,June,JustEat,1811.19,Observed
2024-25,7,July,JustEat,2580.05,Observed
2024-25,8,August,JustEat,2609.5,Observed
2024-25,9,September,JustEat,2850.5,Observed
2024-25,10,October,JustEat,1808.36,Observed
2024-25,11,November,JustEat,2077.81,Observed
2024-25,12,December,JustEat,2338.6,Observed
2024-25,1,January,JustEat,1633.91,Observed
2024-25,2,February,JustEat,1642.35,Observed
2024-25,3,March,JustEat,2003.25,Observed
2025-26,4,April,JustEat,1231.49,Observed
2025-26,5,May,JustEat,1685.82,Observed
2025-26,6,June,JustEat,2263.12,Observed
2025-26,7,July,JustEat,1272.98,Observed
2025-26,8,August,JustEat,1164.05,Observed
2025-26,9,September,JustEat,1437.82,Observed
2025-26,10,October,JustEat,1295.69,Observed
2025-26,11,November,JustEat,1571.51,Observed
2025-26,12,December,JustEat,2042.36,Observed
2022-23,1,January,Deliveroo,324.36,Observed
2022-23,2,February,Deliveroo,673.2,Observed
2022-23,3,March,Deliveroo,612.3,Observed
2023-24,4,April,Deliveroo,610.1,Observed
2023-24,5,May,Deliveroo,823.5,Observed
2023-24,6,June,Deliveroo,640.2,Observed
2023-24,7,July,Deliveroo,815.15,Observed
2023-24,8,August,Deliveroo,751.2,Observed
2023-24,9,September,Deliveroo,875.4,Observed
2023-24,10,October,Deliveroo,1290.15,Observed
2023-24,11,November,Deliveroo,940.24,Observed
2023-24,12,December,Deliveroo,848.17,Observed
2023-24,1,January,Deliveroo,626.3,Observed
2023-24,2,February,Deliveroo,1101.4,Observed
2023-24,3,March,Deliveroo,1093.5,Observed
2024-25,4,April,Deliveroo,1048.2,Observed
2024-25,5,May,Deliveroo,740.15,Observed
2024-25,6,June,Deliveroo,584.8,Observed
2024-25,7,July,Deliveroo,614.8,Observed
2024-25,8,August,Deliveroo,672.45,Observed
2024-25,9,September,Deliveroo,1011.5,Observed
2024-25,10,October,Deliveroo,1146.4,Observed
2024-25,11,November,Deliveroo,989.4,Observed
2024-25,12,December,Deliveroo,1232.4,Observed
2024-25,1,January,Deliveroo,801.5,Observed
2024-25,2,February,Deliveroo,831.2,Observed
2024-25,3,March,Deliveroo,905.1,Observed
2025-26,4,April,Deliveroo,570.38,Observed
2025-26,5,May,Deliveroo,726.11,Observed
2025-26,6,June,Deliveroo,981.4,Observed
2025-26,7,July,Deliveroo,714.2,Observed
2025-26,8,August,Deliveroo,744.82,Observed
2025-26,9,September,Deliveroo,780.2,Observed
2025-26,10,October,Deliveroo,851.3,Observed
2025-26,11,November,Deliveroo,487.84,Observed
2025-26,12,December,Deliveroo,831.05,Observed
