Year,Month,Category,Quantity,Gross_Revenue,Sales_Channel,Data_Level,Data_Period
2023,August,Appetisers,26,126.5,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,August,Drinks,3,7,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,August,Extras,51,163,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,August,Main Courses,41,301.5,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,August,Modifiers,53,57.5,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,August,Solids,6,23,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,August,Soups,25,177,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,December,Appetisers,21,121,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,December,Drinks,7,11,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,December,Extras,104,316.5,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,December,Main Courses,48,349,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,December,Modifiers,50,59,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,December,Promotional Bundles,1,22.5,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,December,Solids,8,29,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,December,Soups,13,95.5,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,July,Appetisers,39,170,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,July,Drinks,7,17,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,July,Extras,87,284.5,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,July,Main Courses,50,373,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,July,Modifiers,51,75,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,July,Solids,6,24,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,July,Soups,21,150.5,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,June,Appetisers,41,125.5,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,June,Drinks,3,6,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,June,Extras,45,109.5,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,June,Main Courses,27,196,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,June,Modifiers,39,37,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,June,Solids,10,41,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,June,Soups,17,120,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,May,Appetisers,13,74,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
2023,May,Drinks,6,15,Deliveroo,Monthly_Category_Aggregate,Jan 2023 - Dec 2025
