Category,Annual_Sales,Category_Share,Year,Sales_Channel,Data_Level
APPETISERS,5105.5,0.085225,2023,EPOS,Annual_Category_Mix
DEALS,1030,0.017193,2023,EPOS,Annual_Category_Mix
DRINKS,1933,0.032267,2023,EPOS,Annual_Category_Mix
EXTRA,14563,0.243096,2023,EPOS,Annual_Category_Mix
MISCELLANEOUS,806.9,0.013469,2023,EPOS,Annual_Category_Mix
RICE DISHES,14505.5,0.242136,2023,EPOS,Annual_Category_Mix
SOLIDS,5052.5,0.08434,2023,EPOS,Annual_Category_Mix
SOUPS,14973,0.24994,2023,EPOS,Annual_Category_Mix
SPECIAL ORDERS,1937,0.032334,2023,EPOS,Annual_Category_Mix
APPETISERS,6720,0.1265,2024,EPOS,Annual_Category_Mix
DEALS,765.5,0.01441,2024,EPOS,Annual_Category_Mix
DESERTS,28,0.000527,2024,EPOS,Annual_Category_Mix
DRINKS,1784.5,0.033592,2024,EPOS,Annual_Category_Mix
EXTRA,11562.5,0.217657,2024,EPOS,Annual_Category_Mix
MISCELLANEOUS,1000.97,0.018843,2024,EPOS,Annual_Category_Mix
RICE DISHES,13225,0.248953,2024,EPOS,Annual_Category_Mix
SOLIDS,4311.5,0.081162,2024,EPOS,Annual_Category_Mix
SOUPS,12174.5,0.229178,2024,EPOS,Annual_Category_Mix
SPECIAL ORDERS,1550,0.029178,2024,EPOS,Annual_Category_Mix
APPETISERS,7591.5,0.160939,2025,EPOS,Annual_Category_Mix
DEALS,454,0.009625,2025,EPOS,Annual_Category_Mix
DESERTS,3.5,7.4e-05,2025,EPOS,Annual_Category_Mix
DRINKS,1266.5,0.02685,2025,EPOS,Annual_Category_Mix
EXTRA,9869,0.209222,2025,EPOS,Annual_Category_Mix
MISCELLANEOUS,630.6,0.013369,2025,EPOS,Annual_Category_Mix
RICE DISHES,11290.5,0.239357,2025,EPOS,Annual_Category_Mix
SOLIDS,4154.5,0.088075,2025,EPOS,Annual_Category_Mix
SOUPS,11182,0.237057,2025,EPOS,Annual_Category_Mix
SPECIAL ORDERS,728,0.015434,2025,EPOS,Annual_Category_Mix
